10536	351
10536	5663
10536	348
10536	5664
10536	4137
10536	5621
10536	6622
10536	29979
10536	6653
10536	2
10536	23621
10536	23385
10536	1636
10536	5328
10536	4035
10536	12
10536	4846
10536	3416
10536	1471
10536	23646
10536	84570
10536	102
10536	3552
10536	4973
10536	7124
10536	3028
10536	323
10536	54209
10536	1627
10536	322
10536	834
10536	4353
10536	10580
10536	4550
10536	321
10536	7024
10536	7064
10536	320
10536	2896
10536	2186
10536	114548
10536	5300
10536	4311
10536	2597
10536	79865
10536	1191
10536	246744
10536	7018
10536	7314
10536	4535
10536	3077
10536	1565
10536	642
10536	2629
10536	4513
10536	10105
10536	3084
10536	2932
10536	1859
10536	20
10536	590
10536	3290
10536	7040
10536	51083
10536	2827
10536	8301
10536	25797
10536	83464
10536	945
10536	6311
10536	10307
10536	836
10536	355
10536	959
10536	4851
10536	5653
10536	4512
10536	9846
10536	7422
10536	5978
10536	23411
10536	333
10536	1071
10536	958
10536	3356
10536	120892
10536	3630
10536	2739
10536	5967
10536	26330
10536	177
10536	255022
10536	1511
10536	4504
10536	10858
10536	51118
10536	54103
10536	4223
10536	1718
10536	729230
10536	3075
10536	1270
10536	6315
10536	627
10536	3105
10536	3162
10536	2048
10536	4843
10536	10288
